GO:0009055	electron carrier activity
GO:0000988	protein binding transcription factor activity
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0003824	catalytic activity
GO:0045735	nutrient reservoir activity
GO:0005198	structural molecule activity
GO:0005215	transporter activity
GO:0005488	binding
GO:0031386	protein tag
GO:0016209	antioxidant activity
GO:0016247	channel regulator activity
GO:0016530	metallochaperone activity
GO:0030234	enzyme regulator activity
GO:0030528	transcription regulator activity
GO:0042056	chemoattractant activity
GO:0045182	translation regulator activity
GO:0045499	chemorepellent activity
GO:0060089	molecular transducer activity
