GOID	Ontology	Definition	Level
GO:0000001	BP	mitochondrion inheritance	7
GO:0000002	BP	mitochondrial genome maintenance	7
GO:0000003	BP	reproduction	2
GO:0000006	MF	high affinity zinc uptake transmembrane transporter activity	10
GO:0000007	MF	low-affinity zinc ion transmembrane transporter activity	10
GO:0000009	MF	alpha-1,6-mannosyltransferase activity	7
GO:0000010	MF	trans-hexaprenyltranstransferase activity	5
GO:0000011	BP	vacuole inheritance	7
GO:0000012	BP	single strand break repair	7
GO:0000014	MF	single-stranded DNA specific endodeoxyribonuclease activity	8
GO:0000015	CC	phosphopyruvate hydratase complex	4
GO:0000016	MF	lactase activity	6
GO:0000017	BP	alpha-glucoside transport	7
GO:0000018	BP	regulation of DNA recombination	6
GO:0000019	BP	regulation of mitotic recombination	7
GO:0000022	BP	mitotic spindle elongation	5
GO:0000023	BP	maltose metabolic process	6
GO:0000024	BP	maltose biosynthetic process	7
GO:0000025	BP	maltose catabolic process	7
GO:0000026	MF	alpha-1,2-mannosyltransferase activity	7
GO:0000027	BP	ribosomal large subunit assembly	7
GO:0000028	BP	ribosomal small subunit assembly	7
GO:0000030	MF	mannosyltransferase activity	6
GO:0000031	MF	mannosylphosphate transferase activity	4
GO:0000032	BP	cell wall mannoprotein biosynthetic process	7
GO:0000033	MF	alpha-1,3-mannosyltransferase activity	7
GO:0000034	MF	adenine deaminase activity	4
GO:0000035	MF	acyl binding	3
GO:0000036	MF	acyl carrier activity	4
GO:0000038	BP	very long-chain fatty acid metabolic process	7
GO:0000040	BP	low-affinity iron ion transport	6
GO:0000041	BP	transition metal ion transport	7
GO:0000042	BP	protein targeting to Golgi	6
GO:0000045	BP	autophagic vacuole assembly	7
GO:0000046	BP	autophagic vacuole fusion	6
GO:0000048	MF	peptidyltransferase activity	6
GO:0000049	MF	tRNA binding	5
GO:0000050	BP	urea cycle	5
GO:0000052	BP	citrulline metabolic process	6
GO:0000053	BP	argininosuccinate metabolic process	6
GO:0000054	BP	ribosomal subunit export from nucleus	5
GO:0000055	BP	ribosomal large subunit export from nucleus	6
GO:0000056	BP	ribosomal small subunit export from nucleus	6
GO:0000059	BP	protein import into nucleus, docking	7
GO:0000060	BP	protein import into nucleus, translocation	6
GO:0000061	BP	protein import into nucleus, substrate release	7
GO:0000062	MF	fatty-acyl-CoA binding	5
GO:0000064	MF	L-ornithine transmembrane transporter activity	8
GO:0000066	BP	mitochondrial ornithine transport	6
GO:0000070	BP	mitotic sister chromatid segregation	5
GO:0000072	BP	M phase specific microtubule process	4
GO:0000073	BP	spindle pole body separation	4
GO:0000075	BP	cell cycle checkpoint	5
GO:0000076	BP	DNA replication checkpoint	6
GO:0000077	BP	DNA damage checkpoint	6
GO:0000078	BP	cell shape checkpoint	7
GO:0000079	BP	regulation of cyclin-dependent protein kinase activity	5
GO:0000080	BP	G1 phase of mitotic cell cycle	6
GO:0000082	BP	G1/S transition of mitotic cell cycle	4
GO:0000083	BP	regulation of transcription involved in G1/S phase of mitotic cell cycle	4
GO:0000084	BP	S phase of mitotic cell cycle	6
GO:0000085	BP	G2 phase of mitotic cell cycle	6
GO:0000086	BP	G2/M transition of mitotic cell cycle	4
GO:0000087	BP	M phase of mitotic cell cycle	5
GO:0000088	BP	mitotic prophase	6
GO:0000089	BP	mitotic metaphase	6
GO:0000090	BP	mitotic anaphase	6
GO:0000091	BP	mitotic anaphase A	7
GO:0000092	BP	mitotic anaphase B	7
GO:0000093	BP	mitotic telophase	6
GO:0000095	MF	S-adenosylmethionine transmembrane transporter activity	5
GO:0000096	BP	sulfur amino acid metabolic process	5
GO:0000097	BP	sulfur amino acid biosynthetic process	6
GO:0000098	BP	sulfur amino acid catabolic process	6
GO:0000099	MF	sulfur amino acid transmembrane transporter activity	7
GO:0000100	MF	S-methylmethionine transmembrane transporter activity	8
GO:0000101	BP	sulfur amino acid transport	5
GO:0000102	MF	L-methionine secondary active transmembrane transporter activity	7
GO:0000103	BP	sulfate assimilation	5
GO:0000104	MF	succinate dehydrogenase activity	5
GO:0000105	BP	histidine biosynthetic process	6
GO:0000107	MF	imidazoleglycerol-phosphate synthase activity	6
GO:0000109	CC	nucleotide-excision repair complex	4
GO:0000110	CC	nucleotide-excision repair factor 1 complex	5
GO:0000111	CC	nucleotide-excision repair factor 2 complex	5
GO:0000112	CC	nucleotide-excision repair factor 3 complex	5
GO:0000113	CC	nucleotide-excision repair factor 4 complex	5
GO:0000114	BP	regulation of transcription involved in G1 phase of mitotic cell cycle	4
GO:0000115	BP	regulation of transcription involved in S phase of mitotic cell cycle	4
GO:0000116	BP	regulation of transcription involved in G2-phase of mitotic cell cycle	4
GO:0000117	BP	regulation of transcription involved in G2/M-phase of mitotic cell cycle	4
GO:0000118	CC	histone deacetylase complex	5
GO:0000120	CC	RNA polymerase I transcription factor complex	5
GO:0000121	MF	glycerol-1-phosphatase activity	7
GO:0000122	BP	negative regulation of transcription from RNA polymerase II promoter	7
GO:0000123	CC	histone acetyltransferase complex	4
GO:0000124	CC	SAGA complex	5
GO:0000125	CC	PCAF complex	6
GO:0000126	CC	transcription factor TFIIIB complex	5
GO:0000127	CC	transcription factor TFIIIC complex	5
GO:0000128	BP	flocculation	3
GO:0000131	CC	incipient cellular bud site	4
GO:0000132	BP	establishment of mitotic spindle orientation	5
GO:0000133	CC	polarisome	4
GO:0000135	BP	septin checkpoint	7
GO:0000136	CC	alpha-1,6-mannosyltransferase complex	5
GO:0000137	CC	Golgi cis cisterna	6
GO:0000138	CC	Golgi trans cisterna	6
GO:0000139	CC	Golgi membrane	4
GO:0000140	MF	acylglycerone-phosphate reductase activity	6
GO:0000142	CC	cellular bud neck contractile ring	5
GO:0000144	CC	cellular bud neck septin ring	5
GO:0000145	CC	exocyst	4
GO:0000146	MF	microfilament motor activity	9
